Date;Type of sample;Replicate;Stage;Plot;Time;Tube number;Family_F;Genus_F;Species_F;Order_I;Family_I;Genus_I;Species_I;Gender;Function,,
14.06.22;Quadrant;1;3;D;10;1;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;2;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;2;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;2;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;3;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;4;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;5;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;5;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;6;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;6;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;7;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;8;Rosaceae;Potentilla;aurea;Diptera;Syrphidae;Platycheirus;manicatus;Male;pollinator,,
14.06.22;Quadrant;1;3;D;10;9;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;10;Rosaceae;Potentilla;aurea;Coleoptera;Staphylinidae;Eusphalerum;sp.;;,,
14.06.22;Quadrant;1;3;D;10;11;Boraginaceae;Myosotis;alpestris;Hymenoptera;Tenthredinidae;Tenthredo;arcuata cfr.;Male;predator, pollinator,
14.06.22;Quadrant;1;3;D;10;12;Caryophyllaceae;Cerastium;latifolium;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;13;Caryophyllaceae;Cerastium;latifolium;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;14;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;14;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;14;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;15;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;15;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;15;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;15;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;16;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;17;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,,
14.06.22;Quadrant;1;3;D;10;18;Ranunculaceae;Ranunculus;villarsii;Hymenoptera;Formicidae;Formica;lemani;;,,
14.06.22;Quadrant;1;3;C;10,55;1;Asteraceae;Hieracium;glanduliferum;Diptera;Bombyliidae;Bombylius;major;;,
14.06.22;Quadrant;1;3;C;10,55;2;Asteraceae;Hieracium;glanduliferum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;3;Asteraceae;Hieracium;glanduliferum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;4;Asteraceae;Hieracium;glanduliferum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;5;Asteraceae;Hieracium;glanduliferum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;6;Asteraceae;Achillea;erba-rotta;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;7;Fabaceae;Anthyllis;vulneraria;Araneae;Araneidae;Aculepeira;sp.;;,
14.06.22;Quadrant;1;3;C;10,55;8;Fabaceae;Lotus;corniculatus;Diptera;Diptera;Diptera;;;,
14.06.22;Quadrant;1;3;C;10,55;9;Fabaceae;Lotus;corniculatus;Hemiptera;Miridae;Lygus;sp.;;,
14.06.22;Quadrant;1;3;C;10,55;10;Rosaceae;Dryas;octopetala;Diptera;Syrphidae;Scaeva;selenitica;Female;,
14.06.22;Quadrant;1;3;C;10,55;11;Rosaceae;Dryas;octopetala;Diptera;Syrphidae;Sphaerophoria;sp.;Female;,
14.06.22;Quadrant;1;3;C;10,55;12;Rosaceae;Dryas;octopetala;Hymenoptera;Formicidae;Formica;lemani;;,
14.06.22;Quadrant;1;3;C;10,55;13;Rosaceae;Dryas;octopetala;Diptera;Acalyptratae;Acalyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;14;Rosaceae;Dryas;octopetala;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;3;C;10,55;15;Rosaceae;Dryas;octopetala;Hemiptera;Aphididae;Aphididae;;;,
14.06.22;Quadrant;1;3;C;10,55;16;Fabaceae;Trifolium;pallescens;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;A;11,35;1;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;A;11,35;1;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;A;11,35;1;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;A;11,35;2;Ericaceae;Rhododendron;ferrugineum;Microlepidoptera;Micropterigidae;Micropterix;aureatella;;,
14.06.22;Quadrant;1;4;A;11,35;3;Ericaceae;Rhododendron;ferrugineum;Microlepidoptera;Adelidae;Nematopogon;schwarziellus;;,
14.06.22;Quadrant;1;4;A;11,35;4;Ericaceae;Vaccinium;vitis-idaea;Microlepidoptera;Micropterigidae;Micropterix;aureatella;;,
14.06.22;Quadrant;1;4;A;11,35;5;Ericaceae;Vaccinium;vitis-idaea;Diptera;Diptera;Diptera;;;,
14.06.22;Quadrant;1;4;A;11,35;6;Ericaceae;Vaccinium;vitis-idaea;Diptera;Diptera;Diptera;;;,
14.06.22;Quadrant;1;4;B;12,15;1;Ericaceae;Rhododendron;ferrugineum;Hymenoptera;Apidae;Apidae;;;,
14.06.22;Quadrant;1;4;B;12,15;2;Ericaceae;Rhododendron;ferrugineum;Hymenoptera;Apidae;Apidae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;3;Ericaceae;Rhododendron;ferrugineum;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;4;B;12,15;4;Ericaceae;Vaccinium;vitis-idaea;Diptera;Syrphidae;Meliscaeva;auricollis;Female;,
14.06.22;Quadrant;1;2;C;14,3;1;Caryophyllaceae;Cerastium;latifolium;Hymenoptera;Formicidae;Formica;lemani;;,
14.06.22;Quadrant;1;2;C;14,3;2;Caryophyllaceae;Cerastium;latifolium;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;3;Ranunculaceae;Ranunculus;villarsii;Coleoptera;Buprestidae;Anthaxia;quadripunctata;;,
14.06.22;Quadrant;1;2;C;14,3;4,1;Ranunculaceae;Ranunculus;villarsii;Hymenoptera;Formicidae;Formica;lemani;;
14.06.22;Quadrant;1;2;C;14,3;4,2;Ranunculaceae;Ranunculus;villarsii;Hymenoptera;Formicidae;Formica;lemani;;
14.06.22;Quadrant;1;2;C;14,3;5;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;6;Ranunculaceae;Ranunculus;villarsii;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;7;Rosaceae;Potentilla;aurea;Hymenoptera;Halictidae;Lasioglossum;sp.;Female;,
14.06.22;Quadrant;1;2;C;14,3;8;Rosaceae;Potentilla;aurea;Hymenoptera;Formicidae;Formica;lemani;;,
14.06.22;Quadrant;1;2;C;14,3;8;Rosaceae;Potentilla;aurea;Hymenoptera;Formicidae;Formica;lemani;;,
14.06.22;Quadrant;1;2;C;14,3;8;Rosaceae;Potentilla;aurea;Hymenoptera;Formicidae;Formica;lemani;;,
14.06.22;Quadrant;1;2;C;14,3;9;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;9;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;10;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;11;Rosaceae;Potentilla;aurea;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;12;Rosaceae;Potentilla;aurea;Diptera;Syrphidae;Sphaerophoria;sp.;Female;,
14.06.22;Quadrant;1;2;C;14,3;13;Rosaceae;Potentilla;aurea;Coleoptera;Melyridae;Dasytes;sp.;;,
14.06.22;Quadrant;1;2;C;14,3;14;Asteraceae;Achillea;erba-rotta;Diptera;Syrphidae;Eupeodes;corollae;Female;,
14.06.22;Quadrant;1;2;C;14,3;14;Asteraceae;Achillea;erba-rotta;Diptera;Syrphidae;Sphaerophoria;interrupta;Female;,
14.06.22;Quadrant;1;2;C;14,3;15;Asteraceae;Achillea;erba-rotta;Diptera;Bombyliidae;Bombylius;major;;,
14.06.22;Quadrant;1;2;C;14,3;16;Asteraceae;Achillea;erba-rotta;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;16;Asteraceae;Achillea;erba-rotta;Diptera;Calyptratae;Calyptratae;;;,
14.06.22;Quadrant;1;2;C;14,3;17;Asteraceae;Achillea;erba-rotta;Coleoptera;Melyridae;Dasytes;sp.;;,
14.06.22;Quadrant;1;2;C;14,3;17;Asteraceae;Achillea;erba-rotta;Coleoptera;Melyridae;Dasytes;sp.;;,
14.06.22;Quadrant;1;2;C;14,3;17;Asteraceae;Achillea;erba-rotta;Coleoptera;Melyridae;Dasytes;sp.;;,
14.06.22;Quadrant;1;2;C;14,3;18;Asteraceae;Achillea;erba-rotta;Orthoptera;Acrididae;Gomphocerippus;rufus;;,
