Date;Type of sample;Replicate;Stage;Plot;Time;Tube number;Family_F;Genus_F;Species_F;Order_I;Family_I;Genus_I;Species_I;Gender;Function,,
23.06.22;Transect;1;2;A;9,4;1;Ericaceae;Rhododendron;ferrugineum;Hymenoptera;Formicidae;Formica;fusca;;,
23.06.22;Transect;1;2;A;9,4;2;Ericaceae;Rhododendron;ferrugineum;Hemiptera;Lygaeidae;Kleidocerys;resedae;;,
23.06.22;Transect;1;2;A;9,4;3;Fabaceae;Anthyllis;vulneraria;Hymenoptera;Formicidae;Formica;lemani;;,
23.06.22;Transect;1;2;A;9,4;4;Fabaceae;Anthyllis;vulneraria;Coleoptera;Chrysomelidae;Phratora;laticollis;;,
23.06.22;Transect;1;2;A;9,4;5;Fabaceae;Anthyllis;vulneraria;Diptera;Calyptratae;Calyptratae;;;,
23.06.22;Transect;1;2;A;9,4;6;Saxifragaceae;Saxifraga;paniculata;Diptera;Diptera;Diptera;;;,
23.06.22;Transect;1;2;A;9,4;7;Saxifragaceae;Saxifraga;paniculata;Diptera;Diptera;Diptera;;;,
23.06.22;Transect;1;2;A;9,4;8;Polygonaceae;Rumex;alpinus;Microlepidoptera;Scythrididae;Scythris;amphonycella;;,
23.06.22;Transect;1;2;A;9,4;9;Asteraceae;Hieracium;murorum;Hymenoptera;Colletidae;Hylaeus;sp.;Male;,
23.06.22;Transect;1;2;A;9,4;10;Asteraceae;Hieracium;murorum;Hymenoptera;Hymenoptera;Hymenoptera;;;,
23.06.22;Transect;1;2;B;10,2;1;Ericaceae;Rhododendron;ferrugineum;Hymenoptera;Apidae;Apidae;;;,
23.06.22;Transect;1;2;B;10,2;2;Ericaceae;Rhododendron;ferrugineum;Hymenoptera;Formicidae;Formica;lemani;;,
23.06.22;Transect;1;2;B;10,2;3;Asteraceae;Leontodon;helveticus;Coleoptera;Chrysomelidae;Phratora;laticollis;;,
23.06.22;Transect;1;2;B;10,2;4;Fabaceae;Trifolium;pallescens;Coleoptera;Chrysomelidae;Labidostomis;longimana;;,
23.06.22;Transect;1;2;B;10,2;5;Asteraceae;Achillea;erba-rotta;Diptera;Calyptratae;Calyptratae;;;,
23.06.22;Transect;1;2;B;10,2;6;Asteraceae;Achillea;erba-rotta;Hemiptera;Miridae;Lygus;pratensis;;,
23.06.22;Transect;1;2;B;10,2;7;Fabaceae;Anthyllis;vulneraria;Coleoptera;Melyridae;Dasytes;sp.;;,
23.06.22;Transect;1;2;B;10,2;8;Saxifragaceae;Saxifraga;paniculata;Diptera;Calyptratae;Calyptratae;;;,
23.06.22;Transect;1;2;B;10,2;9;Saxifragaceae;Saxifraga;paniculata;Hymenoptera;Formicidae;Formica;lemani;;,
23.06.22;Transect;1;2;B;10,2;10;Caryophyllaceae;Cerastium;latifolium;Coleoptera;Staphylinidae;Eusphalerum;sp.;;,
23.06.22;Transect;1;2;B;10,2;11;Caryophyllaceae;Cerastium;latifolium;Hymenoptera;Ichneumonidae;Ichneumonidae;;;,
23.06.22;Transect;1;2;B;10,2;12;Orchidaceae;Gymnadenia;conopsea;Hymenoptera;Formicidae;Formica;lemani;;,
23.06.22;Transect;1;2;B;10,2;12;Orchidaceae;Gymnadenia;conopsea;Hymenoptera;Formicidae;Formica;lemani;;,
23.06.22;Transect;1;1;A;11,15;1;Polygonaceae;Rumex;scutatus;Diptera;Diptera;Diptera;;;,
23.06.22;Transect;1;1;A;11,15;2;Polygonaceae;Rumex;scutatus;Coleoptera;Chrysomelidae;Phratora;laticollis;;,
23.06.22;Transect;1;1;A;11,15;3;Saxifragaceae;Saxifraga;paniculata;Diptera;Calyptratae;Calyptratae;;;,
23.06.22;Transect;1;1;A;11,15;3;Saxifragaceae;Saxifraga;paniculata;Diptera;Calyptratae;Calyptratae;;;,
23.06.22;Transect;1;1;A;11,15;4;Saxifragaceae;Saxifraga;paniculata;Diptera;Diptera;Diptera;;;,
23.06.22;Transect;1;1;A;11,15;4;Saxifragaceae;Saxifraga;paniculata;Diptera;Diptera;Diptera;;;,
